s,n,i,m
LUNA,Luna Innovations,Scientific & Technical Instruments,289287300
LUNG,Pulmonx,Medical Devices,472606212
LUNR,Intuitive Machines,Aerospace & Defense,139133704
LUV,Southwest Airlines Co.,Airlines,22368794972
LUXH,LuxUrban Hotels,Lodging,105336630
LVLU,Lulu's Fashion Lounge Holdings,Apparel Retail,100139004
LVO,LiveOne,Entertainment,152322742
LVOX,LiveVox Holdings,Software - Infrastructure,255581315
LVRO,Lavoro,Agricultural Inputs,699649974
LVS,Las Vegas Sands,Resorts & Casinos,42585178783
LVTX,LAVA Therapeutics,Biotechnology,50737963
LVWR,LiveWire Group,Auto Manufacturers,2368185206
LW,Lamb Weston Holdings,Packaged Foods,16409184480
LWAY,Lifeway Foods,Packaged Foods,95265300
LWLG,Lightwave Logic,Specialty Chemicals,763121370
LX,LexinFintech Holdings,Credit Services,388006640
LXEH,Lixiang Education Holding Co.,Education & Training Services,8533376
LXFR,Luxfer Holdings,Specialty Industrial Machinery,376412168
LXP,LXP Industrial Trust,REIT - Industrial,2843887242
LXRX,Lexicon Pharmaceuticals,Biotechnology,543567000
LXU,LSB Industries,Chemicals,790220100
LYB,LyondellBasell Industries,Specialty Chemicals,29437295552
LYEL,Lyell Immunopharma,Biotechnology,731354347
LYFT,Lyft,Software - Application,3735847200
LYG,Lloyds Banking Group,Banks - Regional,35229018767
LYRA,Lyra Therapeutics,Biotechnology,183112260
LYT,Lytus Technologies Holdings PTV.,Software - Application,18036672
LYTS,LSI Industries,Electronic Components,340128723
LYV,Live Nation Entertainment,Entertainment,21094798894
LZ,LegalZoom.com,Specialty Business Services,2230347060
LZB,La-Z-Boy,Furnishings,1191667176
LZM,Lifezone Metals,Shell Companies,447937504
M,Macy's,Department Stores,4341402645
MA,Mastercard,Credit Services,365429149962
MAA,Mid-America Apartment Communities,REIT - Residential,17868812200
MAC,The Macerich Company,REIT - Retail,2537222725
MACA,Moringa Acquisition,Shell Companies,63089127
MACK,Merrimack Pharmaceuticals,Biotechnology,168269180
MAG,MAG Silver,Silver,1100965800
MAIA,MAIA Biotechnology,Biotechnology,30385757
MAIN,Main Street Capital,Asset Management,3209816823
MAN,ManpowerGroup,Staffing & Employment Services,4001815296
MANH,Manhattan Associates,Software - Application,11935932582
MANU,Manchester United,Entertainment,3954452853
MAPS,WM Technology,Software - Application,151288021
MAQC,Maquia Capital Acquisition,Shell Companies,67554391
MAR,Marriott International,Lodging,56320700669
MARA,Marathon Digital Holdings,Capital Markets,2663414105
MARK,Remark Holdings,Software - Infrastructure,14786601
MARPS,Marine Petroleum Trust,Oil & Gas Midstream,9460000
MARX,Mars Acquisition,Shell Companies,96542951
MAS,Masco,Building Products & Equipment,12427163248
MASI,Masimo,Medical Instruments & Supplies,8371404078
MASS,908 Devices,Medical Devices,220949505
MAT,Mattel,Leisure,7249039196
MATH,Metalpha Technology Holding,Internet Content & Information,47412680
MATV,Mativ Holdings,Paper & Paper Products,814408155
MATW,Matthews International,Conglomerates,1409605496
MATX,Matson,Marine Shipping,2731906735
MAX,MediaAlpha,Internet Content & Information,580327961
MAXN,Maxeon Solar Technologies,Solar,1312815672
MAYS,J.W. Mays,Real Estate Services,94398977
MBAC,M3-Brigade Acquisition II,Shell Companies,149440350
MBC,MasterBrand,Furnishings,1425175900
MBCN,Middlefield Banc,Banks - Regional,214110271
MBI,MBIA Inc.,Insurance - Specialty,486834385
MBIN,Merchants Bancorp,Banks - Regional,1137476016
MBIO,Mustang Bio,Biotechnology,47006836
MBLY,Mobileye Global,Auto Parts,32717933982
MBOT,Microbot Medical,Medical Instruments & Supplies,29739050
MBRX,Moleculin Biotech,Biotechnology,16840846
MBSC,M3-Brigade Acquisition III,Shell Companies,391875000
MBTC,Nocturne Acquisition,Shell Companies,57469019
MBUU,Malibu Boats,Recreational Vehicles,1153951965
MBWM,Mercantile Bank,Banks - Regional,449263152
MC,Moelis & Company,Capital Markets,2970174920
MCAA,Mountain & Co. I Acquisition,Shell Companies,196177800
MCAC,Monterey Capital Acquisition,Shell Companies,121733470
MCAF,Mountain Crest Acquisition Corp. IV,Shell Companies,54068539
MCAG,Mountain Crest Acquisition V,Shell Companies,27477905
MCB,Metropolitan Bank Holding,Banks - Regional,405176382
MCBC,Macatawa Bank,Banks - Regional,312059930
MCBS,MetroCity Bankshares,Banks - Regional,455352407
MCD,McDonald's,Restaurants,213260462074
MCFT,MasterCraft Boat Holdings,Recreational Vehicles,504214546
MCHP,Microchip Technology,Semiconductors,47241162080
MCHX,Marchex,Advertising Agencies,90167370
MCK,McKesson,Medical Distribution,56210789082
MCLD,mCloud Technologies,Software - Application,13155779
MCO,Moody's,Financial Data & Stock Exchanges,62311095000
MCOM,micromobility.com,Recreational Vehicles,647389.8128
MCRB,Seres Therapeutics,Biotechnology,608808760
MCRI,Monarch Casino & Resort,Resorts & Casinos,1314574500
MCS,The Marcus Corporation,Entertainment,466225073
MCVT,Mill City Ventures III,Credit Services,13112751
MCW,Mister Car Wash,Personal Services,2971038047
MCY,Mercury General,Insurance - Property & Casualty,1619050964
MD,Pediatrix Medical Group,Medical Care Facilities,1124896800
MDB,MongoDB,Software - Infrastructure,27429343668
MDC,M.D.C. Holdings,Residential Construction,3199626176
MDGL,Madrigal Pharmaceuticals,Biotechnology,4007712396
MDGS,Medigus,Medical Devices,7743711
MDIA,MediaCo Holding,Broadcasting,30413345
MDJH,MDJM Ltd,Real Estate Services,20431600
MDLZ,Mondelez International,Confectioners,98053198848
MDNA,Medicenna Therapeutics,Biotechnology,33516531
MDRR,Medalist Diversified REIT,REIT - Diversified,11542856
MDRX,Allscripts Healthcare Solutions,Health Information Services,1377768600
MDT,Medtronic,Medical Devices,114268913526
MDU,MDU Resources Group,Conglomerates,4194942800
MDV,Modiv,REIT - Diversified,109226647
MDVL,MedAvail Holdings,Pharmaceutical Retailers,19325737
MDWD,MediWound,Biotechnology,99578677
MDWT,Midwest Holding,Insurance - Life,99776963
MDXG,MiMedx Group,Biotechnology,758342560
MDXH,MDxHealth,Diagnostics & Research,98689065
ME,23andMe Holding Co.,Diagnostics & Research,779520930
MEC,Mayville Engineering Company,Metal Fabrication,229859009
MED,Medifast,Personal Services,999022976
MEDP,Medpace Holdings,Diagnostics & Research,7183453023
MEDS,TRxADE HEALTH,Pharmaceutical Retailers,8978763
MEG,Montrose Environmental Group,Waste Management,1289151652
MEGL,Magic Empire Global,Capital Markets,34232809
MEI,Methode Electronics,Electronic Components,1223238744
MEIP,MEI Pharma,Biotechnology,42908818
MELI,MercadoLibre,Internet Retail,57930533032
MEOA,Minority Equality Opportunities Acquisition,Shell Companies,113578461
MEOH,Methanex,Chemicals,2918597356
MERC,Mercer International,Paper & Paper Products,582601624
MESA,Mesa Air Group,Airlines,104797794
MESO,Mesoblast,Biotechnology,636282120
MET,MetLife,Insurance - Life,44118947349
META,Meta Platforms,Internet Content & Information,725581198168
METC,Ramaco Resources,Coking Coal,501212438
METCB,Ramaco Resources,Coking Coal,508454400
METX,Meten Holding Group,Education & Training Services,4391326
MF,Missfresh,Grocery Stores,3857674
MFA,MFA Financial,REIT - Mortgage,1095554000
MFC,Manulife Financial,Insurance - Life,34087788000
MFG,Mizuho Financial Group,Banks - Regional,39853194301
MFIC,MidCap Financial Investment,Asset Management,822069584
MFIN,Medallion Financial,Credit Services,174680282
MG,Mistras Group,Security & Protection Services,235143520
MGA,Magna International,Auto Parts,16645065280
MGAM,Mobile Global Esports,Electronic Gaming & Multimedia,10104608
MGEE,MGE Energy,Utilities - Diversified,2834848926
MGIC,Magic Software Enterprises,Information Technology Services,661284057
MGIH,Millennium Group International Holdings,Packaging & Containers,23118750
MGLD,The Marygold Companies,Asset Management,49623210
MGM,MGM Resorts International,Resorts & Casinos,15676099255
MGNI,Magnite,Advertising Agencies,1803147606
MGNX,MacroGenics,Biotechnology,310431278
MGOL,MGO Global,Advertising Agencies,37087248
MGPI,MGP Ingredients,Beverages - Wineries & Distilleries,2337440760
MGRC,McGrath RentCorp,Rental & Leasing Services,2215386117
MGRM,Monogram Orthopaedics,Medical Devices,38695480
MGRX,Mangoceuticals,Health Information Services,27545815
MGTA,Magenta Therapeutics,Biotechnology,45052454
MGTX,MeiraGTx Holdings,Biotechnology,416502100
MGY,Magnolia Oil & Gas,Oil & Gas E&P,5455546566
MGYR,Magyar Bancorp,Banks - Regional,72640259
MHH,Mastech Digital,Staffing & Employment Services,118610234
MHK,Mohawk Industries,Furnishings,6570461128
MHLD,Maiden Holdings,Insurance - Reinsurance,201642600
MHO,M/I Homes,Residential Construction,2366347241
MHUA,Meihua International Medical Technologies Co.,Medical Instruments & Supplies,57695400
MICS,The Singing Machine Company,Consumer Electronics,5297477
MIDD,The Middleby Corporation,Specialty Industrial Machinery,7733481552
MIGI,Mawson Infrastructure Group,Capital Markets,36630080
MIMO,Airspan Networks Holdings,Telecom Services,12380778
MIND,MIND Technology,Scientific & Technical Instruments,8565540
MINM,Minim,Communication Equipment,6865404
MIR,Mirion Technologies,Specialty Industrial Machinery,1773845501
MIRM,Mirum Pharmaceuticals,Biotechnology,995292206
MIRO,Miromatrix Medical,Biotechnology,49031820
MIST,Milestone Pharmaceuticals,Biotechnology,109746833
MITA,Coliseum Acquisition,Shell Companies,195937500
MITK,Mitek Systems,Software - Application,490590792
MITQ,Moving iMage Technologies,Communication Equipment,12550525
MITT,AG Mortgage Investment Trust,REIT - Mortgage,123507920
MIXT,MiX Telematics,Software - Application,136736600
MKC,McCormick & Company,Packaged Foods,22738380901
MKFG,Markforged Holding,Computer Hardware,235603200
MKL,Markel,Insurance - Property & Casualty,18390417930
MKSI,MKS Instruments,Scientific & Technical Instruments,7012580022
MKTW,MarketWise,Software - Application,69442016
MKTX,MarketAxess Holdings,Capital Markets,9345778140
MKUL,Molekule Group,Pollution & Treatment Controls,81606720
ML,MoneyLion,Software - Application,408389127
MLAB,Mesa Laboratories,Scientific & Technical Instruments,655403618
MLCO,Melco Resorts & Entertainment,Resorts & Casinos,4808004096
MLEC,Moolec Science,Biotechnology,141484618
MLGO,MicroAlgo,Software - Infrastructure,102186111
MLI,Mueller Industries,Metal Fabrication,4816689705
MLKN,MillerKnoll,Furnishings,1160262046
MLM,Martin Marietta Materials,Building Materials,27276806696
MLNK,MeridianLink,Software - Application,1686295314
MLP,Maui Land & Pineapple Company,Real Estate Services,287088725
MLR,Miller Industries,Auto Parts,395400960
MLSS,Milestone Scientific,Medical Instruments & Supplies,67268555
MLTX,MoonLake Immunotherapeutics,Biotechnology,2218958235
MLVF,Malvern Bancorp,Banks - Regional,122621950
MLYS,Mineralys Therapeutics,Biotechnology,384096914.19
MMAT,Meta Materials,Electronic Components,87460966
MMC,Marsh & McLennan Companies,Insurance Brokers,91023715318
MMI,Marcus & Millichap,Real Estate Services,1247789652
MMLP,Martin Midstream Partners L.P.,Oil & Gas Midstream,83861394
MMM,3M Company,Conglomerates,53672168880
MMMB,MamaMancini's Holdings,Packaged Foods,139007088
MMP,Magellan Midstream Partners,Oil & Gas Midstream,12697691680
MMS,Maximus,Specialty Business Services,5133175020
MMSI,Merit Medical Systems,Medical Instruments & Supplies,4577065496
MMV,MultiMetaVerse Holdings,Entertainment,45607482
MMYT,MakeMyTrip,Travel Services,2844503561
MNDO,MIND C.T.I.,Software - Application,39313560
MNDY,monday.com,Software - Application,7814196150
MNKD,MannKind,Biotechnology,1033436460
MNMD,Mind Medicine (MindMed),Biotechnology,144346422
MNOV,MediciNova,Biotechnology,117718080
MNPR,Monopar Therapeutics,Biotechnology,11085113
MNRO,Monro,Auto Parts,1256071650
MNSB,MainStreet Bancshares,Banks - Regional,170229649
MNSO,MINISO Group Holding,Specialty Retail,5526687441
MNST,Monster Beverage,Beverages - Non-Alcoholic,58479688594
MNTK,Montauk Renewables,Utilities - Diversified,1097577680
MNTN,Everest Consolidator Acquisition,Shell Companies,229856239
MNTS,Momentus,Aerospace & Defense,26772854
MNTX,Manitex International,Farm & Heavy Construction Machinery,101579844
MO,Altria Group,Tobacco,82076139200
MOB,Mobilicom,Communication Equipment,7261530
MOBQ,Mobiquity Technologies,Advertising Agencies,2839243
MOBV,Mobiv Acquisition,Shell Companies,139254264
MOD,Modine Manufacturing Company,Auto Parts,1706173327
MODD,Modular Medical,Medical Devices,20160893
MODG,Topgolf Callaway Brands,Leisure,3663803378
MODN,Model N,Software - Application,1328028950
MODV,ModivCare,Medical Care Facilities,709038330
MOFG,MidWestOne Financial Group,Banks - Regional,331846101
MOG.A,Moog Inc.,Aerospace & Defense,3478989222
MOG.B,Moog Inc.,Aerospace & Defense,3423684544
MOGO,Mogo Inc.,Software - Infrastructure,49293301
MOGU,MOGU Inc.,Internet Retail,20867387
MOH,Molina Healthcare,Healthcare Plans,17211909000
MOLN,Molecular Partners AG,Biotechnology,228600746
MOMO,Hello Group,Internet Content & Information,1890168280
MOND,Mondee Holdings,Travel Services,693778876
MOR,MorphoSys AG,Biotechnology,1060512640
MORF,Morphic Holding,Biotechnology,2641370292
MORN,Morningstar,Financial Data & Stock Exchanges,8403822500
MOS,The Mosaic Company,Agricultural Inputs,12205005456
MOTS,Motus GI Holdings,Medical Devices,3416223
MOV,Movado Group,Luxury Goods,584561947
MOVE,Movano,Medical Devices,61282507
MOXC,Moxian (BVI),Advertising Agencies,30577042
MP,MP Materials,Other Industrial Metals & Mining,4442301010
MPAA,Motorcar Parts of America,Auto Parts,154007340
MPB,Mid Penn Bancorp,Banks - Regional,377043750
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing,50748600000
MPLN,MultiPlan,Health Information Services,1279564393
MPLX,MPLX LP,Oil & Gas Midstream,34515859200
MPRA,Mercato Partners Acquisition,Shell Companies,106132224
MPTI,M-tron Industries,Electronic Components,30540160
MPU,Mega Matrix,Rental & Leasing Services,41664550
MPW,Medical Properties Trust,REIT - Healthcare Facilities,5540258296
MPWR,Monolithic Power Systems,Semiconductors,24370679700
MPX,Marine Products,Recreational Vehicles,571321443
MQ,Marqeta,Software - Infrastructure,2697728750
MRAI,Marpai,Healthcare Plans,50481750
MRAM,Everspin Technologies,Semiconductors,190905086
MRBK,Meridian,Banks - Regional,111219110
MRC,MRC Global,Oil & Gas Equipment & Services,836229132
MRCC,Monroe Capital,Asset Management,175280367
MRCY,Mercury Systems,Aerospace & Defense,1969734885
MRDB,MariaDB,Software - Infrastructure,58215528
MREO,Mereo BioPharma Group,Biotechnology,164981520
MRIN,Marin Software,Software - Application,11383746
MRK,Merck & Co.,Drug Manufacturers - General,276580960000
MRKR,Marker Therapeutics,Biotechnology,38186922
MRM,MEDIROM Healthcare Technologies,Personal Services,27097875
MRNA,Moderna,Biotechnology,45314312879
MRNS,Marinus Pharmaceuticals,Biotechnology,527721120
MRO,Marathon Oil,Oil & Gas E&P,14526045327
MRSN,Mersana Therapeutics,Biotechnology,417508900
MRTN,Marten Transport,Trucking,1748222640
MRTX,Mirati Therapeutics,Biotechnology,2265216017
MRUS,Merus,Biotechnology,1298369424
MRVI,Maravai LifeSciences Holdings,Biotechnology,3056973232
MRVL,Marvell Technology,Semiconductors,50869000000
MS,Morgan Stanley,Capital Markets,139220365599
MSA,MSA Safety,Security & Protection Services,6466113357
MSB,Mesabi Trust,Steel,250723200
MSBI,Midland States Bancorp,Banks - Regional,446889279
MSC,Studio City International Holdings,Resorts & Casinos,1346190120
MSCI,MSCI Inc.,Financial Data & Stock Exchanges,37769908950
MSEX,Middlesex Water Company,Utilities - Regulated Water,1371522927
MSFT,Microsoft,Software - Infrastructure,2507395867658
MSGE,Madison Square Garden Entertainment,Entertainment,1726479542
MSGM,Motorsport Games,Electronic Gaming & Multimedia,10957656
MSGS,Madison Square Garden Sports,Entertainment,4596134232
MSI,Motorola Solutions,Communication Equipment,48951558455
MSM,MSC Industrial Direct Co.,Industrial Distribution,5350172945
MSN,Emerson Radio,Consumer Electronics,12204766
MSSA,Metal Sky Star Acquisition,Shell Companies,94723363
MSTR,MicroStrategy,Software - Application,5344751591
MSVB,Mid-Southern Bancorp,Banks - Regional,37217016
MT,ArcelorMittal,Steel,22080799139
MTA,Metalla Royalty & Streaming,Other Precious Metals & Mining,218866112
MTAC,MedTech Acquisition,Shell Companies,77714067
MTAL,Metals Acquisition,Shell Companies,464730240
MTB,M&T Bank,Banks - Regional,21324247200
MTBL,Moatable,Software - Application,30901860
MTC,MMTec,Software - Application,57898601
MTCH,Match Group,Internet Content & Information,11753838472
MTD,Mettler-Toledo International,Diagnostics & Research,27945615618
MTDR,Matador Resources Company,Oil & Gas E&P,6132016800
MTEK,Maris-Tech,Electronic Components,8429207
MTEM,Molecular Templates,Biotechnology,26479617
MTEX,Mannatech,Household & Personal Products,21728115
MTG,MGIC Investment,Insurance - Specialty,4465508191
